,DOL Transaction Date,Zip,Longitude,Latitude
100144,6/14/22 12:00 AM,98038,-122.03553,47.381989
56620,1/16/20 12:00 AM,98031,-122.19644,47.388461
22598,1/9/17 12:00 AM,98014,-121.91265,47.648232
9305,6/6/14 12:00 AM,98027,-122.02921,47.522828
53198,10/15/19 12:00 AM,98033,-122.1934,47.67903
36639,7/25/18 12:00 AM,98115,-122.30122,47.68382
70474,3/9/21 12:00 AM,98087,-122.26,47.87
7762,1/7/14 12:00 AM,98059,-122.14169,47.493031
12397,1/8/15 12:00 AM,98072,-122.10205,47.758786
3848,3/28/13 12:00 AM,98029,-122.02065,47.572401
48601,6/7/19 12:00 AM,98226,-122.43597,48.759079
31236,1/23/18 12:00 AM,98104,-122.32855,47.60252
20849,10/6/16 12:00 AM,98052,-122.12138,47.677471
103079,7/14/22 12:00 AM,98115,-122.30122,47.68382
102603,7/12/22 12:00 AM,98404,-122.4156,47.212421
77973,7/19/21 12:00 AM,98258,-122.06327,48.028355
77562,7/13/21 12:00 AM,98092,-122.16328,47.297285
29624,11/15/17 12:00 AM,98335,-122.60562,47.301252
26437,6/28/17 12:00 AM,98122,-122.30406,47.61157
89568,1/12/22 12:00 AM,98108,-122.31514,47.546188
56646,1/16/20 12:00 AM,98042,-122.11451,47.363382
39645,10/18/18 12:00 AM,98155,-122.30373,47.753019
21700,11/16/16 12:00 AM,98382,-123.09916,48.079979
78640,7/27/21 12:00 AM,98467,-122.52996,47.203946
4276,4/30/13 12:00 AM,98040,-122.23233,47.569271
74535,5/19/21 12:00 AM,98074,-122.045347,47.625364
74533,5/19/21 12:00 AM,98198,-122.315,47.397521
1332,3/8/12 12:00 AM,98275,-122.30293,47.916148
102459,7/12/22 12:00 AM,98056,-122.18372,47.510739
12616,1/22/15 12:00 AM,98033,-122.1934,47.67903
4240,4/29/13 12:00 AM,98155,-122.30373,47.753019
77195,7/8/21 12:00 AM,98198,-122.315,47.397521
84869,11/4/21 12:00 AM,98020,-122.37096,47.803668
95603,4/12/22 12:00 AM,98466,-122.53272,47.230402
3336,1/29/13 12:00 AM,98502,-122.97702,47.071484
30267,12/14/17 12:00 AM,98270,-122.1588,48.061269
95737,4/14/22 12:00 AM,98059,-122.14169,47.493031
59279,4/7/20 12:00 AM,98075,-122.033685,47.584879
63297,9/24/20 12:00 AM,98110,-122.53508,47.65526
51861,9/12/19 12:00 AM,98118,-122.27496,47.543348
93390,3/9/22 12:00 AM,98607,-122.40547,45.60916
66678,12/15/20 12:00 AM,98106,-122.35443,47.53282
40615,11/7/18 12:00 AM,98117,-122.37838,47.685919
62050,8/6/20 12:00 AM,98199,-122.39758,47.64767
5422,7/16/13 12:00 AM,98177,-122.36978,47.740886
21908,12/2/16 12:00 AM,98012,-122.20457,47.84311
93511,3/11/22 12:00 AM,98122,-122.30406,47.61157
67605,1/7/21 12:00 AM,98004,-122.20308,47.618371
103801,7/25/22 12:00 AM,98682,-122.51319,45.67309
87940,12/16/21 12:00 AM,98290,-122.03976,47.930902
43162,12/27/18 12:00 AM,98112,-122.29752,47.629653
88228,12/23/21 12:00 AM,99362,-118.3,46.1
43764,1/8/19 12:00 AM,98036,-122.28394,47.808816
65850,11/19/20 12:00 AM,98001,-122.26608,47.303722
103229,7/14/22 12:00 AM,98198,-122.315,47.397521
20188,8/26/16 12:00 AM,98007,-122.14104,47.610935
45515,2/19/19 12:00 AM,98166,-122.34943,47.458821
58812,3/25/20 12:00 AM,98006,-122.1526,47.562975
10339,8/12/14 12:00 AM,98391,-122.2,47.2
35865,6/28/18 12:00 AM,98058,-122.14584,47.448322
28436,9/22/17 12:00 AM,98270,-122.1588,48.061269
