,week,zipcode,date,Longitude,Latitude,State,City,Zip,data_avail
169,468,98053,12/17/19 12:00 AM,-122.03318,47.640972,WA,Redmond,98053,1
340,467,98144,12/19/19 12:00 AM,-122.30081,47.58577,WA,Seattle,98144,1
210,468,98005,12/19/19 12:00 AM,-122.16858,47.611021,WA,Bellevue,98005,1
285,470,98109,12/30/19 12:00 AM,-122.34675,47.630648,WA,Seattle,98109,1
190,470,98026,1/1/20 12:00 AM,-122.33651,47.821568,WA,Edmonds,98026,1
349,470,98007,1/2/20 12:00 AM,-122.14104,47.610935,WA,Bellevue,98007,1
211,469,98005,1/3/20 12:00 AM,-122.16858,47.611021,WA,Bellevue,98005,1
351,470,98121,1/4/20 12:00 AM,-122.34578,47.61487,WA,Seattle,98121,1
347,470,98019,1/4/20 12:00 AM,-121.96222,47.7353,WA,Duvall,98019,1
32,472,98115,1/12/20 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,1
352,472,98027,1/18/20 12:00 AM,-122.02921,47.522828,WA,Issaquah,98027,1
277,473,98006,1/19/20 12:00 AM,-122.1526,47.562975,WA,Bellevue,98006,1
326,473,98133,1/20/20 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,1
353,472,98391,1/22/20 12:00 AM,-122.2,47.2,WA,Bonney Lake,98391,1
358,474,98023,2/1/20 12:00 AM,-122.36178,47.309021,WA,Federal Way,98023,1
264,475,98444,2/7/20 12:00 AM,-122.4485,47.153571,WA,Tacoma,98444,1
360,476,98004,2/9/20 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,1
43,477,98119,2/27/20 12:00 AM,-122.36694,47.63877,WA,Seattle,98119,1
172,477,99362,2/28/20 12:00 AM,-118.3,46.1,WA,Walla Walla,99362,1
257,480,98363,3/15/20 12:00 AM,-123.63765,48.102836,WA,Port Angeles,98363,1
367,481,98204,3/16/20 12:00 AM,-122.25064,47.90296,WA,Everett,98204,1
244,482,98103,4/3/20 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
59,484,99223,4/5/20 12:00 AM,-117.35892,47.614744,WA,Spokane,99223,1
327,484,98133,4/9/20 12:00 AM,-122.34461,47.733852,WA,Seattle,98133,1
286,483,98109,4/9/20 12:00 AM,-122.34675,47.630648,WA,Seattle,98109,1
293,484,98226,4/10/20 12:00 AM,-122.43597,48.759079,WA,Bellingham,98226,1
368,484,98204,4/14/20 12:00 AM,-122.25064,47.90296,WA,Everett,98204,1
129,485,98031,4/21/20 12:00 AM,-122.19644,47.388461,WA,Kent,98031,1
372,486,98203,4/22/20 12:00 AM,-122.21792,47.943468,WA,Everett,98203,1
375,487,98092,4/27/20 12:00 AM,-122.16328,47.297285,WA,Auburn,98092,1
229,487,98052,5/2/20 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
160,488,98040,5/7/20 12:00 AM,-122.23233,47.569271,WA,Mercer Island,98040,1
341,489,98144,5/11/20 12:00 AM,-122.30081,47.58577,WA,Seattle,98144,1
215,488,98155,5/15/20 12:00 AM,-122.30373,47.753019,WA,Seattle,98155,1
44,491,98119,5/31/20 12:00 AM,-122.36694,47.63877,WA,Seattle,98119,1
230,491,98052,6/4/20 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
377,494,98292,6/17/20 12:00 AM,-122.38961,48.222046,WA,Stanwood,98292,1
361,495,98004,6/27/20 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,1
33,496,98115,7/2/20 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,1
141,497,98112,7/10/20 12:00 AM,-122.29752,47.629653,WA,Seattle,98112,1
280,497,98367,7/12/20 12:00 AM,-122.66335,47.470971,WA,Port Orchard,98367,1
378,499,98065,7/29/20 12:00 AM,-121.83053,47.530639,WA,Snoqualmie,98065,1
301,500,98003,8/4/20 12:00 AM,-122.31188,47.311072,WA,Federal Way,98003,1
69,504,98332,8/26/20 12:00 AM,-122.60011,47.364321,WA,Gig Harbor,98332,1
379,506,98466,9/13/20 12:00 AM,-122.53272,47.230402,WA,Tacoma,98466,1
362,506,98004,9/15/20 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,1
381,509,98178,9/27/20 12:00 AM,-122.24664,47.497971,WA,Seattle,98178,1
245,510,98103,10/6/20 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
383,510,98382,10/15/20 12:00 AM,-123.09916,48.079979,WA,Sequim,98382,1
26,511,98272,10/16/20 12:00 AM,-121.93734,47.860245,WA,Monroe,98272,1
205,511,98118,10/21/20 12:00 AM,-122.27496,47.543348,WA,Seattle,98118,1
34,512,98115,10/25/20 12:00 AM,-122.30122,47.68382,WA,Seattle,98115,1
231,512,98052,10/25/20 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
232,513,98052,11/2/20 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
191,517,98026,11/25/20 12:00 AM,-122.33651,47.821568,WA,Edmonds,98026,1
384,518,98310,12/3/20 12:00 AM,-122.62371,47.58675,WA,Bremerton,98310,1
363,520,98004,12/15/20 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,1
354,520,98391,12/22/20 12:00 AM,-122.2,47.2,WA,Bonney Lake,98391,1
246,526,98103,1/29/21 12:00 AM,-122.34166,47.671346,WA,Seattle,98103,1
387,527,98033,2/8/21 12:00 AM,-122.1934,47.67903,WA,Kirkland,98033,1
60,529,99223,2/15/21 12:00 AM,-117.35892,47.614744,WA,Spokane,99223,1
233,529,98052,2/19/21 12:00 AM,-122.12138,47.677471,WA,Redmond,98052,1
163,530,99212,2/23/21 12:00 AM,-117.30668,47.668926,WA,Spokane,99212,1
100,529,98126,2/24/21 12:00 AM,-122.3748,47.54687,WA,Seattle,98126,1
389,530,98446,3/3/21 12:00 AM,-122.37589,47.1309,WA,Tacoma,98446,1
221,531,98168,3/4/21 12:00 AM,-122.3027,47.491327,WA,Seattle,98168,1
108,534,98125,3/26/21 12:00 AM,-122.30308,47.716648,WA,Seattle,98125,1
196,536,98077,4/12/21 12:00 AM,-122.06,47.75,WA,Woodinville,98077,1
310,537,98584,4/22/21 12:00 AM,-123.10538,47.224044,WA,Shelton,98584,1
390,537,98034,4/22/21 12:00 AM,-122.19702,47.71828,WA,Kirkland,98034,1
364,538,98004,4/24/21 12:00 AM,-122.20308,47.618371,WA,Bellevue,98004,1
394,540,98020,5/3/21 12:00 AM,-122.37096,47.803668,WA,Edmonds,98020,1
