,zip code,number_registration,Unnamed: 0,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
152,98270.0,273,310,48987,17224.0,5.0,3.3,6.0,7.8,13.4,19.1,16.4,21.1,5.2,2.7
153,98117.0,728,558,32682,14039.0,2.7,2.7,5.0,5.3,7.8,16.0,12.7,22.1,12.3,13.5
154,99212.0,109,225,19090,8169.0,7.3,6.8,9.5,13.1,14.7,21.2,9.9,11.4,3.8,2.1
155,98597.0,160,129,22489,7957.0,7.6,6.4,6.9,8.9,14.0,24.8,15.7,10.5,3.4,1.9
156,98446.0,60,374,9887,3912.0,3.7,5.5,7.8,7.7,11.4,25.1,17.1,13.6,5.4,2.7
157,98198.0,228,427,36768,13382.0,4.8,3.6,8.1,10.0,16.0,21.3,13.9,13.7,4.3,4.3
158,98563.0,36,143,7575,3023.0,4.8,4.5,9.3,6.3,19.0,21.9,12.9,12.9,2.4,6.0
159,98260.0,131,421,5600,2591.0,6.0,4.7,5.3,7.7,13.0,21.3,12.6,18.8,6.2,4.4
160,98684.0,228,71,27550,10136.0,2.5,2.2,8.4,11.2,14.1,22.0,14.7,17.0,4.9,3.0
161,98264.0,104,357,19932,7242.0,3.3,4.4,9.3,9.7,13.5,22.5,14.7,15.2,5.0,2.6
162,98683.0,366,70,33652,13351.0,3.7,3.6,7.4,10.1,15.8,19.3,14.0,16.4,5.2,4.5
163,98107.0,546,325,24179,12429.0,3.9,2.7,4.5,7.2,7.9,17.5,16.5,21.3,7.4,11.1
164,98944.0,25,48,22554,6181.0,5.6,7.7,15.5,13.5,16.6,18.2,10.5,6.7,3.4,2.2
165,98467.0,185,444,16009,6183.0,6.9,2.6,10.8,7.7,12.0,17.9,13.0,16.8,6.7,5.5
166,98405.0,122,432,24125,9569.0,10.4,7.1,11.8,8.8,15.1,19.5,12.6,10.7,3.1,0.8
167,98056.0,532,554,35140,13830.0,4.4,3.0,6.6,6.8,12.2,16.6,13.7,18.8,7.8,10.1
168,98115.0,887,109,50258,21330.0,4.9,2.1,5.1,5.9,9.1,13.2,10.8,19.7,11.4,17.8
169,99337.0,113,75,30222,10763.0,2.7,3.9,8.8,7.1,13.8,19.2,16.6,18.4,4.4,5.0
170,98021.0,598,259,29885,10334.0,3.5,1.5,3.8,4.0,7.2,14.6,12.3,23.4,14.0,15.7
171,98370.0,353,404,29480,11448.0,3.2,3.2,7.3,8.1,11.5,18.3,14.4,22.0,7.0,5.0
172,99009.0,17,513,3739,1375.0,10.1,2.8,10.8,6.5,7.7,25.1,18.9,12.1,1.9,4.1
173,99026.0,52,486,10002,3684.0,2.6,3.9,8.8,10.7,9.9,24.4,17.5,12.8,4.2,5.2
174,98230.0,202,142,15906,6608.0,7.6,5.3,8.4,7.1,13.4,22.5,11.9,13.8,5.1,4.8
175,98058.0,482,555,43747,15690.0,3.2,1.9,4.8,6.2,11.2,19.0,14.3,21.9,9.7,7.7
176,99223.0,192,73,31331,12975.0,6.4,4.7,6.7,8.8,13.7,20.0,12.9,14.8,6.4,5.6
177,98532.0,90,123,24078,8951.0,5.8,5.5,12.1,12.9,12.3,19.2,12.7,13.2,4.3,1.9
178,98144.0,579,209,30090,12594.0,9.7,4.9,8.0,8.3,10.1,15.9,11.7,14.0,8.6,8.9
179,98368.0,283,571,15478,7159.0,7.7,7.6,10.4,11.2,13.9,16.6,14.4,10.5,3.5,4.3
180,98092.0,413,440,43156,15488.0,3.2,1.3,5.5,6.5,13.7,19.4,15.2,19.2,8.8,7.0
181,98102.0,432,441,24030,14565.0,4.7,1.9,5.6,6.2,10.9,18.8,13.9,19.9,7.5,10.6
182,98103.0,826,207,49364,23311.0,3.6,2.1,4.6,5.9,11.2,18.1,11.4,19.8,10.4,12.8
183,99005.0,54,540,8488,2804.0,1.3,0.6,6.8,6.4,10.4,13.7,20.3,24.9,10.0,5.7
184,98221.0,352,213,20860,9142.0,5.4,3.9,9.2,8.6,12.8,18.4,14.1,15.0,6.0,6.5
185,98042.0,440,107,45860,16059.0,2.4,1.4,3.1,5.6,8.4,17.2,17.5,25.9,9.8,8.8
