Longitude,Latitude,State,City,Zip
-121.682271,48.037258,WA,North Lakewood,98259
-122.19797,47.893451,WA,Everett,98208
-124.08111,46.781978,WA,Grayland,98547
-124.64076,48.35306,WA,Neah Bay,98357
-122.87249,47.069339,WA,Olympia,98506
-122.0348,46.711036,WA,Mineral,98355
-122.17858,46.761546,WA,Elbe,98330
-122.01479,47.317802,WA,Black Diamond,98010
-117.16984,48.159752,WA,Newport,99156
-122.12547,48.841442,WA,Deming,98244
-121.803388,47.432251,WA,Seattle,98160
-122.12138,47.677471,WA,Redmond,98052
-120.46721,46.457731,WA,Wapato,98951
-118.11029,48.406582,WA,Rice,99167
-122.79736,48.100255,WA,Port Townsend,98368
-117.93432,47.50505,WA,Edwall,99008
-122.284785,47.859918,WA,Everett,98206
-122.30308,47.716648,WA,Seattle,98125
-122.24432,48.371026,WA,Mount Vernon,98274
-117.41047,47.117965,WA,Thornton,99176
-122.729304,47.687971,WA,Retsil,98378
-122.045347,47.625364,WA,Sammamish,98074
-121.14615,45.859065,WA,Wahkiacus,98670
-119.74507,46.208571,WA,Prosser,99350
-120.73348,48.494944,WA,Stehekin,98852
-121.41445,47.658047,WA,Skykomish,98288
-122.41375,48.559548,WA,Bow,98232
-123.6907,46.899189,WA,Cosmopolis,98537
-122.20222,47.986274,WA,Everett,98201
-121.803388,47.432251,WA,Kent,98064
-122.20308,47.618371,WA,Bellevue,98004
-118.95862,47.995847,WA,Coulee Dam,99116
-122.34578,47.61487,WA,Seattle,98121
-122.03553,47.381989,WA,Maple Valley,98038
-117.35892,47.614744,WA,Spokane,99223
-117.431742,47.653568,WA,Spokane,99299
-122.520347,45.801586,WA,Vancouver,98687
-119.00126,48.17266,WA,Nespelem,99155
-121.803388,47.432251,WA,Seattle,98151
-120.13051,48.359904,WA,Twisp,98856
-122.422431,47.136544,WA,Parkland,98448
-119.93088,46.834349,WA,Beverly,99321
-121.803388,47.432251,WA,Seahurst,98062
-122.27496,47.543348,WA,Seattle,98118
-119.98939,46.880413,WA,Vantage,98950
-122.1934,47.67903,WA,Kirkland,98033
-124.20789,47.254009,WA,Moclips,98562
-117.57295,46.44754,WA,Pomeroy,99347
-122.539637,47.521803,WA,South Colby,98384
-118.06417,48.664206,WA,Marcus,99151
-121.88657,47.359414,WA,Ravensdale,98051
-121.803388,47.432251,WA,Seattle,98195
-121.16835,45.632051,WA,Dallesport,98617
-117.08133,47.222328,WA,Tekoa,99033
-122.37589,47.1309,WA,Tacoma,98446
-121.47607,47.763755,WA,Baring,98224
-121.803388,47.432251,WA,Seattle,98150
-120.73874,47.728186,WA,Leavenworth,98826
-124.41188,48.181608,WA,Clallam Bay,98326
-117.63938,47.11653,WA,Saint John,99171
-122.88417,47.445292,WA,Belfair,98528
-123.60332,47.034615,WA,Montesano,98563
-117.47364,47.227436,WA,Malden,99149
-120.71232,47.087352,WA,Thorp,98946
-122.6199,47.244053,WA,Fox Island,98333
-123.02636,48.701835,WA,Waldron,98297
-118.82892,46.776386,WA,Hatton,99332
-122.113223,47.066193,WA,La Grande,98348
-120.09326,47.745842,WA,Orondo,98843
-121.988548,48.814753,WA,Bellingham,98227
-122.31577,47.196272,WA,Puyallup,98371
-122.4485,47.153571,WA,Tacoma,98444
